date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:18	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
12:55:18	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
12:55:18	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:55:18	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
12:55:18	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
12:55:19	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
12:55:19	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
12:55:19	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
12:55:19	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/Users/T460/Desktop/yesss/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
12:55:20	990/990	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:48:07%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/T460/Desktop/yesss/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
